"word","in documents","total"
"a_balkan",1.0,1.0
"a_država",1.0,1.0
"a_intervju",1.0,1.0
"a_kriminalci",1.0,1.0
"a_mladi",1.0,1.0
"a_nevidljivi",1.0,1.0
"a_nije",1.0,1.0
"a_onda",1.0,1.0
"a_rusenje",1.0,1.0
"a_srbija",1.0,1.0
"a_srpskom",1.0,1.0
"a_zatim",1.0,1.0
"abdurrahman",1.0,7.0
"abdurrahman_ef",1.0,1.0
"abdurrahman_kujevi?",1.0,5.0
"abdurrahman_muftija",1.0,1.0
"abramovic",1.0,25.0
"abramovic_balkan",1.0,4.0
"abramovic_intervju",1.0,6.0
"abramovic_najnovije",1.0,4.0
"abramovic_teslino",1.0,4.0
"abramovic_velimir",1.0,7.0
"abramovi?",1.0,12.0
"abramovi?_kosmi?ke",1.0,1.0
"abramovi?_nikola",1.0,6.0
"abramovi?_teslino",1.0,1.0
"abramovi?_velimir",1.0,4.0
"ac_kao",1.0,1.0
"administrative",1.0,1.0
"administrative_division",1.0,1.0
"advokat",1.0,1.0
"advokat_toma",1.0,1.0
"aferama",1.0,2.0
"aferama_i",1.0,2.0
"agentima",1.0,1.0
"agentima_naše",1.0,1.0
"agresija",1.0,1.0
"agresija_svetozar",1.0,1.0
"agroekonomista",1.0,1.0
"agroekonomista_miladin",1.0,1.0
"ajs_nigrutin",1.0,2.0
"ajuaska",1.0,1.0
"ajuaska_aleksandar",1.0,1.0
"ajzea",1.0,2.0
"ajzea_andrijano",1.0,1.0
"ajzea_intervju",1.0,1.0
"ajzi",1.0,1.0
"ajzi_oduvek",1.0,1.0
"akademski",1.0,1.0
"akademski_slikar",1.0,1.0
"akcija",1.0,1.0
"akcija_oluja",1.0,1.0
"ako_bi",1.0,1.0
"ako_docekaju",1.0,2.0
"ako_do?ekaju",1.0,1.0
"ako_ne",1.0,1.0
"ako_odlu?i",1.0,1.0
"ako_se",1.0,1.0
"ako_vu?i?",1.0,1.0
"ako_žele",1.0,1.0
"ako_želimo",1.0,2.0
"aksentijevi?",1.0,1.0
"aksentijevi?_bad",1.0,1.0
"alal",1.0,4.0
"alal_vera",1.0,4.0
"albanci",1.0,1.0
"albanci_kaplan",1.0,1.0
"albanija",1.0,1.0
"albanija_kaplan",1.0,1.0
"albanolog",1.0,1.0
"albanolog_??????",1.0,1.0
"albanskom",1.0,1.0
"albanskom_mafijom",1.0,1.0
"alcatraz",1.0,2.0
"alcatraz_grobari",1.0,1.0
"alcatraz_kimi",1.0,1.0
"aleckovic",1.0,48.0
"aleckovic_balkan",1.0,6.0
"aleckovic_ilija",1.0,1.0
"aleckovic_intervju",1.0,11.0
"aleckovic_marin",1.0,1.0
