,title,published,tags,comments,likes,dislikes,favourites,views,guest_name,quote,tokens,2_gram,3_gram,page_name,wiki2016,wiki2017,wiki2018,wiki2016_sr,wiki2017_sr,wiki2018_sr,gender,year,month,month_from_start,week_day,Music,Politics,Sport,Performer,Scientist,Critic,Writer,Journalist,Photographer,Police/Military,Artist,Profession
0,INTERVJU: Džon Bosnić - Globalističko carstvo Amerike se sve više bliži svom kraju! (06.03.2018),3/6/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Džon Bosnić', 'Џон Боснић', 'Donald Tramp', 'Доналд Трамп', 'John Bosnich', 'Dzon Bosnic', 'Evropska unija', 'Amerika', 'Globalizam', 'Medijska manipulacija', 'Cenzura medija', 'savetnik japanskog premijera']",194,527,24,0,13933,Džon Bosnić,Globalističko carstvo Amerike se sve više bliži svom kraju!,"['globalističko', 'carstvo', 'amerike', 'se', 'sve', 'više', 'bliži', 'svom', 'kraju']","['globalističko carstvo', 'carstvo amerike', 'amerike se', 'se sve', 'sve više', 'više bliži', 'bliži svom', 'svom kraju']","['globalističko carstvo amerike', 'carstvo amerike se', 'amerike se sve', 'se sve više', 'sve više bliži', 'više bliži svom', 'bliži svom kraju']",Džon_Bosnić,-1,-1,-1,-1,-1,-1,1,2018,3,34,Tuesday,0,1,0,0,0,1,0,1,0,0,0,Journalist
1,INTERVJU: Momir Bulatović - Istorija će suditi Milu Đukanoviću zbog njegove politike! (05.03.2018),3/5/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Momir Bulatović', 'Momir Bulatovic', 'Momir Bulatiovic 2018', 'Момир Булатовић', 'Milo Đukanović', 'Milo Djukanovic', 'Мило Ђукановић']",271,658,105,0,38904,Momir Bulatović,Istorija će suditi Milu Đukanoviću zbog njegove politike!,"['istorija', 'će', 'suditi', 'milu', 'đukanoviću', 'zbog', 'njegove', 'politike']","['istorija će', 'će suditi', 'suditi milu', 'milu đukanoviću', 'đukanoviću zbog', 'zbog njegove', 'njegove politike']","['istorija će suditi', 'će suditi milu', 'suditi milu đukanoviću', 'milu đukanoviću zbog', 'đukanoviću zbog njegove', 'zbog njegove politike']",Momir_Bulatović,20442,21598,5923,-1,-1,-1,1,2018,3,34,Monday,0,1,0,0,0,0,0,0,0,0,0,Politics
2,INTERVJU: Kaplan Burović - Mnogi su hteli da me likvidiraju zato što sam otkrio istinu! (04.03.2018),3/4/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Kaplan Burović', 'Albanolog', 'Каплан Буровић', 'Албанолог', 'Kaplan Burovic najnovije', 'Kaplan Burovic 2018', 'Kaplan Burovic', 'Kaplan Burovic Enver Hodza', 'Kaplan Burovic Kosovo', 'Kaplan Burovic Tito', 'Kaplan Burovic Albanija', 'Kaplan Burovic Albanci', 'Kaplan Burovic Istina']",208,680,39,0,40196,Kaplan Burović,Mnogi su hteli da me likvidiraju zato što sam otkrio istinu!,"['mnogi', 'su', 'hteli', 'da', 'me', 'likvidiraju', 'zato', 'što', 'sam', 'otkrio', 'istinu']","['mnogi su', 'su hteli', 'hteli da', 'da me', 'me likvidiraju', 'likvidiraju zato', 'zato što', 'što sam', 'sam otkrio', 'otkrio istinu']","['mnogi su hteli', 'su hteli da', 'hteli da me', 'da me likvidiraju', 'me likvidiraju zato', 'likvidiraju zato što', 'zato što sam', 'što sam otkrio', 'sam otkrio istinu']",Kaplan_Burović,-1,-1,-1,-1,-1,-1,1,2018,3,34,Sunday,0,0,0,0,1,0,1,0,0,0,0,Scientist
3,"INTERVJU: Slavko Nikić - Veterani neće ćutati o izdaji, spremni smo da branimo Kosovo! (03.03.2018)",3/3/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Slavko Nikić', 'Slavko Nikic', 'Славко Никић', 'Pukovnik Slavko Nikic', 'Пуковник Славко Никић', 'Pukovnik Slavko Nikic intervju', 'Slavko Nikic intervju', 'Slavko Nikic najnovije', 'Slavko Nikic 2018']",307,660,69,0,32843,Slavko Nikić,"Veterani neće ćutati o izdaji, spremni smo da branimo Kosovo!","['veterani', 'neće', 'ćutati', 'o', 'izdaji', 'spremni', 'smo', 'da', 'branimo', 'kosovo']","['veterani neće', 'neće ćutati', 'ćutati o', 'o izdaji', 'izdaji spremni', 'spremni smo', 'smo da', 'da branimo', 'branimo kosovo']","['veterani neće ćutati', 'neće ćutati o', 'ćutati o izdaji', 'o izdaji spremni', 'izdaji spremni smo', 'spremni smo da', 'smo da branimo', 'da branimo kosovo']",Slavko_Nikić,-1,-1,-1,-1,-1,-1,1,2018,3,34,Saturday,0,0,0,0,0,0,0,0,0,1,0,Police/Military
4,INTERVJU: Miroslav Lazanski - Srbija mora da sačuva vojnu neutralnost i vrati vojni rok! (2.3.2018),3/2/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Miroslav Lazanski', 'Vojni analitičar', 'Мирослав Лазански', 'Војни аналитичар']",334,765,395,0,51061,Miroslav Lazanski,Srbija mora da sačuva vojnu neutralnost i vrati vojni rok!,"['srbija', 'mora', 'da', 'sačuva', 'vojnu', 'neutralnost', 'i', 'vrati', 'vojni', 'rok']","['srbija mora', 'mora da', 'da sačuva', 'sačuva vojnu', 'vojnu neutralnost', 'neutralnost i', 'i vrati', 'vrati vojni', 'vojni rok']","['srbija mora da', 'mora da sačuva', 'da sačuva vojnu', 'sačuva vojnu neutralnost', 'vojnu neutralnost i', 'neutralnost i vrati', 'i vrati vojni', 'vrati vojni rok']",Miroslav_Lazanski,12898,9081,2904,-1,-1,-1,1,2018,3,34,Friday,0,1,0,0,0,1,0,1,0,0,0,Critic
5,"INTERVJU: Svetozar Radišić - Živimo u opasnim vremenima, svet se bliži velikom ratu! (01.03.2018)",3/1/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Svetozar Radisic', 'Svetozar Radišić', 'Светозар Радишић', 'Svetozar Radisic intervju', 'Svetozar Radišić intervju', 'Svetozar Radisic najnovije', 'Svetozar Radisic tajna drustva', 'Svetozar Radisic pukovnik', 'Svetozar Radisic Vatikan', 'Svetozar Radisic satanizam', 'Svetozar Radisic Grupa 69']",207,571,102,0,43393,Svetozar Radišić,"Živimo u opasnim vremenima, svet se bliži velikom ratu!","['živimo', 'u', 'opasnim', 'vremenima', 'svet', 'se', 'bliži', 'velikom', 'ratu']","['živimo u', 'u opasnim', 'opasnim vremenima', 'vremenima svet', 'svet se', 'se bliži', 'bliži velikom', 'velikom ratu']","['živimo u opasnim', 'u opasnim vremenima', 'opasnim vremenima svet', 'vremenima svet se', 'svet se bliži', 'se bliži velikom', 'bliži velikom ratu']",Svetozar_Radišić,-1,-1,-1,-1,-1,-1,1,2018,3,34,Thursday,0,0,0,0,0,0,0,0,0,1,0,Police/Military
6,INTERVJU: Dragan Đilas - Vučić mi preti hapšenjem samo zbog mog povratka u politiku! (28.02.2018),2/28/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Dragan Đilas', 'Dragan Djilas', 'Драган Ђилас', 'gradonačelnik Beograda', 'gradonacelnik Beograda', 'градоначелник Београда']",222,834,553,0,66985,Dragan Đilas,Vučić mi preti hapšenjem samo zbog mog povratka u politiku!,"['vučić', 'mi', 'preti', 'hapšenjem', 'samo', 'zbog', 'mog', 'povratka', 'u', 'politiku']","['vučić mi', 'mi preti', 'preti hapšenjem', 'hapšenjem samo', 'samo zbog', 'zbog mog', 'mog povratka', 'povratka u', 'u politiku']","['vučić mi preti', 'mi preti hapšenjem', 'preti hapšenjem samo', 'hapšenjem samo zbog', 'samo zbog mog', 'zbog mog povratka', 'mog povratka u', 'povratka u politiku']",Dragan_Đilas,14887,10041,7279,-1,-1,-1,1,2018,2,33,Wednesday,0,1,0,0,0,0,0,0,0,0,0,Politics
7,"INTERVJU: Vojislav Šešelj - Vučić je loš, ali su dosmanlije i ostali još gori od njega! (27.02.2018)",2/27/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Vojislav Šešelj', 'Vojislav Seselj', 'Војислав Шешељ', 'Vojislav Seselj 2018', 'Vojislav Seselj najnovije', 'Vojislav Seselj intervju najnovije', 'Vojislav Seselj Goli zivot', 'Vojislav Seselj Cirilica', 'Vojislav Seselj N1', 'Seselj Olja Beckovic', 'Seselj N1 Pressing', 'Seselj Ziva Istina', 'Seselj intervju', 'Seselj Tesa']",768,379,1206,0,33828,Vojislav Šešelj,"Vučić je loš, ali su dosmanlije i ostali još gori od njega!","['vučić', 'je', 'loš', 'ali', 'su', 'dosmanlije', 'i', 'ostali', 'još', 'gori', 'od', 'njega']","['vučić je', 'je loš', 'loš ali', 'ali su', 'su dosmanlije', 'dosmanlije i', 'i ostali', 'ostali još', 'još gori', 'gori od', 'od njega']","['vučić je loš', 'je loš ali', 'loš ali su', 'ali su dosmanlije', 'su dosmanlije i', 'dosmanlije i ostali', 'i ostali još', 'ostali još gori', 'još gori od', 'gori od njega']",Vojislav_Šešelj,130931,91598,16719,3,-1,-1,1,2018,2,33,Tuesday,0,1,0,0,1,0,1,0,0,0,0,Politics
8,INTERVJU: Aleksandar Šapić - Trudiću se da pokažem da sam vredan poverenja građana! (26.02.2018),2/26/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Aleksandar Sapic', 'Aleksandar Šapić', 'Александар Шапић', 'Aleksandar Sapic Novi Beograd', 'Aleksandar Sapic Intervju', 'Aleksandar Sapic najnovije', 'Aleksandar Sapic Olimpijske igre', 'Aleksandar Sapic Waterpolo', 'Aleksandar Sapic Utisak nedelje', 'Aleksandar Sapic Kad porastem bicu kengur', 'Kad porastem bicu kengur', 'Aleksandar Sapic 2018']",267,538,345,0,31755,Aleksandar Šapić,Trudiću se da pokažem da sam vredan poverenja građana!,"['trudiću', 'se', 'da', 'pokažem', 'da', 'sam', 'vredan', 'poverenja', 'građana']","['trudiću se', 'se da', 'da pokažem', 'pokažem da', 'da sam', 'sam vredan', 'vredan poverenja', 'poverenja građana']","['trudiću se da', 'se da pokažem', 'da pokažem da', 'pokažem da sam', 'da sam vredan', 'sam vredan poverenja', 'vredan poverenja građana']",Aleksandar_Šapić,18192,13870,6208,118,76,36,1,2018,2,33,Monday,0,1,1,0,0,0,0,0,0,0,0,Politics
9,INTERVJU: Ljubiša Preletačević Beli - Do kraja ću se boriti da dočekamo bolja vremena! (25.02.2018),2/25/2018,"['Balkan Info Intervju', 'Balkan Info', 'Балкан Инфо', 'Теша Тешановић', 'Teša Tešanović', 'Tesa Tesanovic', 'Ljubiša Preletačević Beli', 'Luka Maksimović', 'Samo jako', 'Љубиша Прелетачевић Бели', 'Лука Максимовић', 'Само јако', 'Ljubisa Preletacevic Beli', 'Luka Maksimovic', 'Beli samo jako']",1029,2114,1292,0,104978,Ljubiša Preletačević Beli,Do kraja ću se boriti da dočekamo bolja vremena!,"['do', 'kraja', 'ću', 'se', 'boriti', 'da', 'dočekamo', 'bolja', 'vremena']","['do kraja', 'kraja ću', 'ću se', 'se boriti', 'boriti da', 'da dočekamo', 'dočekamo bolja', 'bolja vremena']","['do kraja ću', 'kraja ću se', 'ću se boriti', 'se boriti da', 'boriti da dočekamo', 'da dočekamo bolja', 'dočekamo bolja vremena']",Ljubiša_Preletačević_Beli,-1,5543,434,-1,-1,-1,1,2018,2,33,Sunday,0,1,0,0,0,0,0,0,0,0,0,Politics
